Date	AC Type	Plane	Route of Flight	App	Remarks	day ldg	nt ldg	nt t/o	ASEL	AMEL	Heli	Night	Actual	Hood	Flight Sim	XC	Dual	PIC	Solo	Total		
4/3/09	R22BII	N4179M	PWA-RCE-PWA		"normal app, pinnacle, autos, 180 autos, slopes"	6					1.1						1.1	1.1		1.1		
4/4/09	PA-28	N75078	OUN-HQZ-CUH-OUN	1	"ARF rescue flight ""Chance"" 30 lb pit bull puppy, IMC down in Dallas area, broke out just above minimums"	3			4.7				0.3			4.7		4.7	4.7	4.7		
4/7/09	R22BII	N4179M	PWA-F92-HSD-PWA		"solo practice - normals, steep, slopes, OGE hover"						1.6					1.6		1.6	1.6	1.6		
4/8/09	R22BII	N4179M	PWA-PVJ-*-1K4-PWA		long solo xc	4					1.7					1.7		1.7	1.7	1.7		
4/11/09	PA-28	N75078	OUN-ADM-OUN		"pancake breakfast with Piper, Matt Huch and son Landon.  First time for Piper with new headset, wore it the whole way back"	2			1.8							1.8		1.8		1.8		
4/13/09	R22BII	N4179M	PWA-HSD-PWA		"normal/steep, settling, autos, gov off, confined, slopes"	7					1.2							1.2	1.2	1.2		
4/25/09	C172SP	N790SP	PHNY-PHNY		"one pattern at PHNY (Lanai, HI) with Chad.  Flight from PHNL to Molokai to Lanai and back.  Cleared VFR at or below 17,000!"	1			0.0									0.0		0.0		
5/14/09	R22BII	N4179M	PWA-HSD-PWA		"solo practice - normals, steep, slopes, OGE hover"	7					1.0							1.0	1.0	1.0		
5/16/09	PA-28	N75078	OUN-O44-1K4-OUN		"McCaslin fly-in , soft wet field"	4			1.0									1.0	1.0	1.0		
5/17/09	PA-28	N75078	OUN-GLE-OUN		"Lunch at Gainesville with Piper, flew down with Steve and Brittany, met Craig Helm there"	2			2.3							2.3		2.3		2.3		
5/18/09	R22BII	N4179M	PWA-OJA-PWA		"2hr, 50nm day VFR X/C, straight/180/hover auto"	6					2.1					2.1	2.1	2.1		2.1		
5/20/09	R22BII	N4179M	PWA-RCE-PWA		"solo practice - normals, steep, slopes, OGE hover, gov off, pedal turns, running landings/takeoffs, low rpm recovery, confined area, pinnacle"	7					1.2							1.2	1.2	1.2		
5/21/09	PA-28	N75078	OUN-TKI-CHK-OUN		"Graceflight from TKI to CHK, ATC - ""need you to read your flight plan like with FSS""??"	3			3.0							3.0		3.0		3.0		
5/22/09	R22BII	N4179M	PWA-RCEPWA		"Solo practice - normal/steep app/t/o/ldg, shallow app/run-on ldg, confined, go-around, hover turns, quick stop, pinnacle, crosswinds, low rpm, hover auto"	6					1.2							1.2	1.2	1.2		
5/26/09	R22BII	N4179M	PWA-HSD-PWA		"solo practice, over to Expressway Airport, then around antennas to HSD - hover turns, normal/steep t/o/ldgs, slopes"	5					1.5							1.5	1.5	1.5		
5/27/09	PA-28	N75078	OUN-ADS-PWA		"Graceflight OUN-ADS, OVC in OKC, SCT in Dallas, shortcut the Fingr 3 arrival, VFR for return over solid undercast in OK, IFR clearance with OKC approach"	2			3.4				0.2			3.4		3.4	2.0	3.4		
5/27/09	R22BII	N4179M	PWA-RCE-PWA		"solo practice - gusty wind, slopes, hover turns, ""round the windsock"", pinnacle, confined, normal/steep, aborted takeoff"	5					1.2							1.2	1.2	1.2		
5/27/09	PA-28	N75078	PWA-OUN		return flight	1			0.3									0.3	0.3	0.3		
6/4/09	R22BII	N4179M	PWA-HSD-RCE-PWA		"Solo practice - normal/steep app/t/o/ldg, shallow app/run-on ldg, confined, go-around, hover turns, quick stop, pinnacle, crosswinds, hover auto, gov off"	7					1.4							1.4	1.4	1.4		
6/5/09	R22BII	N4179M	PWA-O44-OKC-PWA		"Solo XC, normal/steep, pedal turns, slopes, air taxi, hover taxi"	5					1.5					1.5		1.5	1.5	1.5		
6/6/09	PA-28	N75078	OUN-O38-BVO-O38-OUN		"With Piper to Gundy's to get Mom and Dad, then to Bartlesville Biplane Expo.  Tailwind on way there, 40kts, 156 kts GS!"	4			3.3							3.3		3.3		3.3		
6/7/09	PA-28	N75078	OUN-RCE-OUN	2	To RCE for Aviation Consignment Auction with Steve Ruse Safety Pilot	2			0.9					0.8				0.9		0.9		
6/16/09	R22BII	N4179M	PWA-HSD-RCE-PWA		"Solo practice - normal/steep app/t/o/ldg, shallow app/run-on ldg, confined, go-around, hover turns, quick stop, pinnacle, crosswinds, hover auto"	7					1.4							1.4	1.4	1.4		
6/18/09	R22BII	N4179M	PWA-PWA		"checkride prep - norm/max t/o, norm/steep app, hover work, autos"	6					1.1						1.1	1.1		1.1		
6/20/09	PA-28	N75078	OUN-OKC-OUN		"with Devlin Polite, intro to flying, he flew most of flight, did well, flew over to OKC and over his house and back"	2			1.1									1.1		1.1		
6/21/09	PA-28	N75078	OUN-OUN		"over construction near OKC, clouds"	1			1.1									1.1	1.1	1.1		
6/29/09	R22BII	N4179M	PWA-RCE-PWA		"Solo practice - hovers, OGE hover, settling, pedal turns, normal/steep app/ldg/t/o, 180 autos to go-around"	7					1.3							1.3	1.3	1.3		
7/3/09	PA-28	N75078	OUN-O38-OUN		"with Piper to Grandma and Grandpa's house - good girl the whole way, mostly ate and read"	2			2.3							2.3		2.3		2.3		
7/17/09	PA-28	N75078	OUN-TKI-OUN		Grace Flight	2			2.9							2.9		2.9	1.3	2.9		
7/24/09	R22BII	N4179M	PWA-RCE-PWA		"norm/steep app, low rpm, gov off, slopes, straight/hover auto, checkride prep"	10					1.7						1.7	1.7		1.7		
7/26/09	PA-28	N75078	OUN-OUN		oil warm up and post-oil change check flight	5			1.0									1.0	1.0	1.0		
7/28/09	R22BII	N4179M	PWA-RCE-PWA		"norm t/o, shallow app, 180/straight/hover auto, forced, settle w/ power, checkride prep"	6					1.1						1.1	1.1		1.1		
7/30/09	R22BII	N4179M	PWA-RCE-PWA		"steep app, pinnacle, confined, quick stop, straight/180/hover/forced auto, checkride prep"	8					1.4						1.4	1.4		1.4		
7/31/09	R22BII	N4179M	PWA-WLD-0KS9		straight/180 autos - prep	5					2.1					2.1	2.1	2.1		2.1		
7/31/09	R22BII	N4179M	0KS9-0KS9		Commercial Pilot RH check OK	5					0.7							0.7		0.7		
7/31/09	R22BII	N4179M	0KS9-PNC-PWA		Return flight	2					2.1					2.1		2.1		2.1		
8/1/09	PA-28	N75078	OUN-OUN		with Matt Huch and Misty around OKC	1			0.6									0.6		0.6		
8/4/09	PA-28	N75078	OUN-M88-FVX-CGS		"trip to NACO, diverted from OWB to M88 for storms in KY, lots of buildups, 11,000 ft, 20 knot tailwing the whole way, dodging storms"	3			9.1				0.2			9.1		9.1	9.1	9.1		
8/7/09	PA-28	N75078	CGS-0I8-DXE-OUN		"Return with cats, smooth flight whole way, slight headwind"	3			10.4							10.4		10.4	10.4	10.4		
8/14/09	PA-28	N75078	OUN-PWA		Respositioning for Okie Derby	1			0.4									0.4	0.4	0.4		
8/15/09	PA-28	N75078	PWA-PWA		"Okie Derby with Steve Ruse!  Checkpoints 1S4 and F36, +7 seconds and -0.1 gallons, 2nd place!"	1			2.4									2.4		2.4		
8/15/09	PA-28	N75078	PWA-OUN		Return flight	1			0.4									0.4	0.4	0.4		
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
